dept,siren,epci_nom,i005,i006,i010,i012,i015,i017,i032,i033,i034,i035,i036,i037,i038,i043,i044,i047,i048,i049,i051,i052,i053,i054,i056,i057,i058,i064,i065,i066,i067,i068,i069,i070,i071,i072,i073,i077,i083,i084,i085,i086,i087,i089,i094,i095,i096,i097,i106,i108,i110,i111,i112,i113,i114,i115,i119,i126,i127,i128,i129,i130,i131,i134,i135,i142,i147,i148,i149,i150,i151,i156,i157,i158,i161,i162,i164
01,200029999,CC Rives de l'Ain - Pays du Cerdon,85.1,38.76,41.67,76.65,0.0,0.0,50.0,53.68,51.69,78.67,11.19,100.0,38.95,46.36,53.03,66.45,48.04,45.09,21.84,0.0,0.0,0.6,26.43,16.98,0.0,0.0,64.29,29.15,41.44,49.63,32.35,0.0,91.27,100.0,20.87,32.35,33.47,37.94,0.96,0.0,6.89,43.8,52.96,100.0,0.0,68.3,0.0,48.31,38.46,78.3,0.58,11.43,41.12,100.0,53.85,68.38,63.26,53.97,29.72,100.0,62.86,53.57,47.59,23.89,23.81,49.4,93.22,11.48,60.92,100.0,30.68,64.24,84.0,56.07,52.26
01,200040350,CC Bugey Sud,93.06,0.0,52.78,64.73,6.25,0.0,50.0,49.51,48.31,56.67,35.95,48.46,40.12,52.55,54.92,38.3,47.19,46.63,28.72,29.03,0.0,0.4,25.34,15.9,86.03,20.0,0.0,21.25,46.04,44.44,9.42,0.0,100.0,100.0,47.79,40.22,41.27,43.24,64.42,0.0,59.99,43.8,45.4,100.0,0.0,52.33,0.0,47.26,0.0,95.87,14.04,19.19,72.41,96.57,53.85,64.58,54.92,52.98,35.48,43.0,62.83,48.21,27.01,75.78,49.14,68.75,0.0,0.0,65.52,100.0,25.1,82.07,24.0,56.07,45.74
01,200042497,CC Dombes Saône Vallée,49.56,100.0,0.0,40.63,38.02,0.0,50.0,53.92,75.84,100.0,29.16,100.0,65.7,64.55,34.09,94.57,97.63,65.34,24.25,12.9,0.0,1.81,87.13,28.94,33.61,46.67,78.57,12.2,33.94,75.56,51.52,0.0,0.0,50.0,52.51,0.0,27.57,33.09,26.28,4.0,35.9,43.8,71.27,88.89,0.0,82.62,0.0,68.35,22.56,0.0,0.79,100.0,43.79,0.0,61.54,86.04,79.17,69.21,23.83,100.0,54.63,50.0,42.17,30.31,72.95,64.22,100.0,1.13,57.47,50.0,46.08,29.57,100.0,56.07,65.58
01,200042935,CA Haut-Bugey Agglomération,61.02,0.0,55.56,75.82,14.58,16.54,0.0,53.31,56.46,98.0,100.0,40.77,36.63,56.0,40.66,63.62,63.71,52.45,26.14,24.19,0.0,0.6,47.54,17.33,45.62,0.0,0.0,35.89,38.04,42.22,58.72,0.0,100.0,0.0,12.13,56.42,32.68,20.29,0.0,0.0,18.82,43.8,41.36,100.0,50.0,50.65,0.0,66.24,0.0,38.35,20.36,0.0,95.47,100.0,46.15,65.91,32.95,49.34,29.59,0.0,38.08,42.86,1.51,100.0,55.0,53.44,0.0,0.0,65.52,100.0,22.71,85.0,80.0,56.07,38.06
01,200069193,CC de la Dombes,48.65,74.27,0.0,39.8,71.02,17.21,75.0,53.92,66.01,100.0,43.44,100.0,61.63,56.91,44.32,64.17,64.33,51.84,30.61,8.06,0.0,0.8,7.75,20.05,0.0,0.0,100.0,18.23,32.02,57.41,30.38,0.0,0.0,100.0,100.0,50.95,36.34,41.91,51.92,0.0,41.05,43.8,62.14,100.0,0.0,69.12,0.0,47.26,0.0,92.79,1.08,100.0,53.29,53.0,53.85,75.4,73.11,63.25,30.52,83.67,75.84,53.57,44.78,30.48,61.76,45.96,12.99,0.0,62.07,50.0,35.46,89.24,74.0,56.07,62.23
01,200070118,CC Val de Saône Centre,36.11,100.0,0.0,27.45,,0.0,75.0,55.39,64.61,100.0,0.62,100.0,65.7,53.45,48.61,74.2,93.57,57.06,21.84,25.81,0.0,1.01,5.43,20.99,80.07,0.0,100.0,0.0,36.13,62.22,40.05,0.0,0.0,100.0,0.0,17.5,26.82,27.5,3.53,0.0,1.56,43.8,66.54,100.0,0.0,62.97,75.44,50.42,0.0,38.7,0.0,100.0,49.79,0.0,61.54,80.34,76.89,61.92,19.28,100.0,70.76,55.36,43.57,15.16,73.33,57.99,56.31,0.0,59.77,100.0,34.66,40.43,90.0,56.07,64.55
01,200070555,CC de la Veyle,60.96,100.0,0.0,29.21,35.42,100.0,75.0,50.88,60.39,100.0,15.59,100.0,65.7,55.27,51.64,68.77,72.59,52.76,21.15,22.58,0.0,0.6,0.0,16.7,18.92,6.67,91.07,6.62,35.03,63.7,30.88,0.0,0.0,0.0,16.87,0.0,23.71,32.06,0.0,0.0,0.0,43.8,63.69,0.0,0.0,76.03,0.0,36.71,0.0,78.48,8.31,100.0,60.62,13.0,69.23,79.39,72.73,68.21,22.36,100.0,71.41,55.36,52.71,25.86,69.33,63.7,100.0,0.0,63.22,100.0,25.63,62.72,70.0,56.07,59.45
01,200071371,CC Bresse et Saône,100.0,100.0,44.44,25.64,,0.0,75.0,53.43,56.18,100.0,0.0,100.0,55.81,59.64,47.85,66.67,80.54,52.45,16.51,0.0,0.0,0.6,8.46,14.57,0.0,6.67,82.14,20.79,29.33,53.33,34.32,0.0,0.0,50.0,31.19,0.0,24.17,30.59,0.0,0.0,10.77,43.8,66.9,100.0,50.0,67.32,84.21,57.81,0.0,98.9,0.0,100.0,41.71,63.71,76.92,77.68,71.59,59.93,17.4,100.0,68.39,55.36,47.49,40.36,70.71,59.11,0.0,0.0,65.52,50.0,33.07,42.83,66.0,56.07,58.45
01,200071751,CA du Bassin de Bourg-en-Bresse,88.93,93.6,26.39,49.15,46.41,0.0,50.0,48.9,59.55,100.0,95.86,67.31,54.65,57.64,36.49,73.66,73.66,51.84,29.75,24.19,0.0,1.11,48.76,24.06,67.3,0.0,73.21,24.74,39.36,65.19,47.09,0.0,30.95,0.0,0.0,26.91,32.82,52.06,42.95,0.0,71.57,43.8,55.13,100.0,100.0,69.08,0.0,64.14,0.0,89.88,1.08,100.0,68.09,42.86,53.85,61.54,53.79,54.3,21.69,73.33,95.71,48.21,57.73,100.0,39.81,55.7,63.65,9.07,,0.0,31.74,78.48,54.0,56.07,50.94
01,240100610,CC de la Côtière à Montluel,0.0,74.27,0.0,96.57,0.0,0.0,25.0,58.82,70.79,100.0,65.9,100.0,66.28,63.27,37.37,80.22,92.9,56.75,39.38,0.0,3.0,1.21,36.37,27.31,23.4,20.0,75.0,12.2,46.64,80.37,55.77,0.0,35.45,0.0,79.2,18.37,30.58,29.56,23.4,28.0,4.86,43.8,67.01,0.0,100.0,65.83,0.0,74.68,0.0,0.0,4.26,100.0,44.35,1.86,46.15,82.05,68.94,48.68,21.82,99.67,51.45,50.0,12.75,85.5,77.24,48.49,100.0,10.24,57.47,0.0,30.94,74.35,100.0,56.07,51.1
