ID_indicateurs,Libellé_indicateurs,Type_Sources,Question à choix unique,Unités_indicateurs,Valeur_min_controle,Valeur_max_controle,Type de bornage,Valeur-borne Score=0,Valeur-borne Score=100,Point de réfence score=0,Justif Score=0,Point de réfence score=100,Justif Score=100,Valeur médiane,Commentaire Valeur médiane,Valeur-intermédiaire Score=20,Valeur-intermédiaire Score=33,Valeur-intermédiaire Score=40,Valeur-intermédiaire Score=50,Valeur-intermédiaire Score=60,Valeur-intermédiaire Score=66,Valeur-intermédiaire Score=80
i001,"Couverture effective du territoire par au moins un outil de planification et de gestion de l’eau (SAGE, PGRE, PTGE, contrat de milieu)",Donnée interne,Oui,/,/,/,Absolu,Non,Oui,,,,,,,En cours d'élaboration,Oui sur une minorité du territoire,,Oui sur environ la moitié du territoire,, Oui sur une majorité du territoire,
i002,Existence d'un schéma directeur de l'eau potable de moins de 10 ans,Donnée interne,Oui,/,/,/,Absolu,Non,Oui,,,,,,,En cours d'élaboration,Oui sur une minorité du territoire,,Oui sur environ la moitié du territoire,, Oui sur une majorité du territoire,
i003,Identification d'un agent-référent sur les enjeux relatifs à l'eau,Donnée interne,Oui,/,/,/,Absolu,Non,Oui,,,,,-,,en cours,"Oui, 1/4 ETP ou moins",,,,"Oui, 1/2 ETP",
i004,Identification d'un élu-référent sur les enjeux relatifs à l'eau,Donnée interne,Oui,/,/,/,Absolu,Non,Oui,,,,,,,en cours,,,,,,
i005,Taux de conformité physicochimique de l’eau distribuée au robinet,Donnée ouverte,Non,%,0,100,Mixte,"92,8",100,,"par extrapolation linéaire, 2x l'écart entre la valeur-cible (100%) et la valeur moyenne nationale.",Seuil absolu,Objectif-cible,"96,4","Valeur moyenne de l'indicateur au 1er janvier de l'année 2024

https://www.services.eaufrance.fr/indicateurs/P102.1",,,,,,,
i006,Taux de conformité microbiologique de l’eau distribuée au robinet,Donnée ouverte,Non,%,0,100,Mixte,"96,2",100,,"par extrapolation linéaire, 2x l'écart entre la valeur-cible (100%) et la valeur moyenne nationale.",Seuil absolu,Objectif-cible,"98,1",Valeur moyenne de l'indicateur au 1er janvier de l'année 2024,,,,,,,
i007,Existence d’un diagnostic territorial sur les conditions d'accès à l'eau de consommation humaine,Donnée interne,Oui,/,/,/,Absolu,Non,Oui,,,,,,,En cours d'élaboration,Oui sur une minorité du territoire,,Oui sur environ la moitié du territoire,, Oui sur une majorité du territoire,
i008,Mise en œuvre de mesures permettant de garantir l’accès à l’eau de consommation humaine (Art. L2224-7-3 CGCT),Donnée interne,Oui,/,/,/,Absolu,Non,Oui,,,,,,,En cours d'élaboration,Oui sur une minorité du territoire,,Oui sur environ la moitié du territoire,, Oui sur une majorité du territoire,
i009,Existence de dispositifs de protection sociale des abonnés pour l’accès à l’eau,Donnée interne,Oui,/,/,/,Absolu,Non,Oui,,,,,,,En cours d'élaboration,Oui sur une minorité du territoire,,Oui sur environ la moitié du territoire,, Oui sur une majorité du territoire,
i010,Part moyenne du territoire en alerte sécheresse en période estivale,Donnée ouverte,Non,%,0,100,Mixte,0,100,Seuil absolu,Méthodologie Territoires Fertiles,Seuil absolu,Méthodologie Territoires Fertiles,36,Médiane des territoires,,,,,,,
