ID_indicateur,Libellé_indicateur,Exclusion,Coef_ponderation,Commentaire
i005,Taux de conformité physicochimique de l'eau distribuée au robinet,Non,3,
i006,Taux de conformité microbiologique de l'eau distribuée au robinet,Non,3,
i010,Part moyenne du territoire en alerte sécheresse en période estivale,Non,3,
i012,Fréquence des interruptions de service non programmées pour l'eau potable,Oui,,
i015,Indice Linéaire des Volumes non comptés (ILVNC),Oui,,
i017,Prélèvements d'eau à usage domestique par habitant et par an,Oui,,rest
i032,Part des logements en situation de sur-occupation,Non,2,
i033,Part des logements en situation de sous-occupation très accentuée,Non,2,test
i034,Taux de précarité énergétique liée au logement,Non,2,
i035,Taux de résidences secondaires,Non,2,
i036,Part des logements sociaux dans l'ensemble des logements,Non,3,
i037,Taux d'évolution annuel du nombre de logements sociaux (RPLS) (%) 2019-2023,Non,3,
i038,Taux de logements vacants,Non,2,
i043,"Part des logements ""passoires énergétiques"" (étiquettes F ou G) dans le parc de logements",Non,2,
i044,Part des résidences principales chauffées au gaz ou au fioul,Non,2,
i047,Part de la population se situant à plus de 7 min en voiture des équipements de gamme de proximité,Non,2,
i048,Part de la population se situant à plus de 15 min en voiture des équipements de gamme intermédiaire,Non,2,
i049,Taux de précarité énergétique mobilité,Non,2,
i051,Part des déplacements domicile-travail en voiture,Non,2,
i052,Evolution de la part des déplacements domicile-travail en voiture (points de %) sur la période 2016-2022,Non,2,
i053,Distance moyenne entre le domicile et le tavail,Non,2,
i054,Part du parc automobile local électrifié,Non,2,
i056,Nombre de stations de transport en commun pour 1000 habitants,Non,2,
i057,Part de voitures particulières en circulation avec vignette Crit'Air E ou Crit'Air 1,Non,2,
i058,Nombre de kilomètres d'aménagements cyclables par km2 urbanisé,Non,2,
i064,Accessibilité potentielle localisée (APL) aux médecins généralistes de 65 ans et moins,Non,2,
i065,Part de la population éloignée de plus de 20 minutes d'au moins un des 5 services de santé de proximité,Non,2,
i066,Densité d'officines de Pharmacie,Non,2,
i067,Accessibilité potentielle localisée (APL) aux infirmiers de 65 ans et moins,Non,2,
i068,Accessibilité potentielle localisée (APL) aux sage-femmes de 65 ans et moins,Non,2,
i069,Accessibilité Potentielle Localisée aux Chirurgiens-Dentistes de 65 ans et moins,Non,2,
i070,Taux d'équipement en Médecine-Chirurgie-Obstétrique (nombre de lits / places),Non,2,
i071,Part des forêts et milieux semi-naturels sur la surface totale du territoire,Non,2,
i072,Nombre d'établissements industriels dépassant les seuils de déclaration d'émission de polluants atmosphériques pour 100.000 habitants,Non,2,
i073,Part du territoire en zone protégée,Non,2,
i077,Part de la surface du territoire consommée entre 2009 et 2021,Non,2,
i083,Nombre d'équipements total pour 1000 habitants,Non,2,
i084,Part des emplois de la sphère présentielle,Non,2,
i085,"Part des emplois jugés ""à risque"" dans un contexte de transformation de l'économie française vers une société bas-carbone",Non,2,
i086,Indicateur de dépendance économique (taux d'actifs / taux d'inactifs),Non,2,
i087,Part des emplois dans l'économie sociale et solidaire dans l'ensemble de l'économie,Non,2,
i089,Taux de valorisation matière et organique des déchets ménagers et assimilés,Non,2,
i094,Indice de fragilité numérique,Non,2,
i095,Nombre de lieux de médiation numérique pour 10.000 habitants,Non,2,
i096,Nombre de médias locaux indépendants à l'échelle départementale,Non,2,
i097,Distance moyenne aux bibliothèques,Non,2,
i106,Evolution de la Surface Agricole Utile entre 2010 et 2020,Non,2,
i108,Accessibilité théorique aux commerces alimentaires à vélo,Non,2,
i110,Évolution des actifs agricoles entre 2008 et 2019,Non,2,
i111,Adéquation théorique entre la production agricole et la consommation du territoire,Non,2,
i112,Part de la surface agricole en agriculture Biologique sur la surface agricole utile,Non,2,
i113,Part de la Surface Agricole Utile sur la superficie totale du territoire,Non,2,
i114,Quantité annuelle d'achats de substances actives rapporté à la SAU du territoire,Non,2,
i115,Score d'impact des pratiques agricoles sur la biodiversité,Non,2,
i119,Nombre de risques majeurs auxquels sont exposées les communes du territoire,Non,2,
i126,Part des ménages d'une seule personne,Non,2,
i127,Taux de pauvreté,Non,2,
i128,Part des jeunes (15-24 ans) non insérés,Non,2,
i129,Taux de participation aux élections municipales 2020,Non,2,
i130,Taux de couverture accueil jeune enfant pour 100 enfants de moins de 3 ans,Non,2,
i131,Nombre d'associations pour 1000 habitants,Non,2,
i134,Rapport interdécile du niveau de vie (9e décile / 1er décile),Non,2,
i135,Différence entre le taux d'emploi des femmes et des hommes,Non,2,
i142,Taux de concentration de l'emploi,Non,2,
i147,Distance à la pharmacie la plus proche,Non,2,
i148,Distance au service d'urgence le plus proche,Non,2,
i149,Nombre d'aires de covoiturage pour 10.000 habitants,Non,2,
i150,Nombre de trajets en covoiturage pour 10.000 habitants,Non,2,
i151,Durée moyenne de déplacement par jour et par personne,Non,2,
i156,Nombre de sites SEVESO sur le territoire,Non,2,
i157,Nombre de licenciés sportifs pour 100 habitants,Non,2,
i158,Nombre d'arrêtés de catastrophes naturelles publiés au JO depuis l'an 2000 rapporté à la superficie du territoire,Non,2,
i161,Indice de vieillissement (nombre de plus de 65 ans pour 100 jeunes de moins de 20 ans),Non,2,
i162,Taux de suicides,Non,2,
i164,Part de la population en emploi précaire,Non,2,
