ID_indicateur,Libellé_indicateur,Unité,Valeur,Exclusion,Coef_ponderation,Score,Calcul_scoring_necessaire,Commentaire
i001,"Couverture effective du territoire par au moins un outil de planification et de gestion de l'eau (SAGE, PGRE, PTGE, contrat de milieu)",,,Oui,,,Non,
i002,Existence d'un schéma directeur de l'eau potable de moins de 10 ans,,,Oui,,,Non,
i003,Identification d'un agent-référent sur les enjeux relatifs à l'eau,,En cours,Non,2,20,Non,
i004,Identification d'un élu-référent sur les enjeux relatifs à l'eau,,"Oui, 1/4 ETP ou moins",Non,2,33,Non,
i007,Existence d'un diagnostic territorial sur les conditions d'accès à l'eau de consommation humaine,,Oui sur une minorité du territoire,Non,2,33,Non,
i008,Mise en œuvre de mesures permettant de garantir l'accès à l'eau de consommation humaine (Art. L2224-7-3 CGCT),,,Non,2,,Non,
i009,Existence de dispositifs de protection sociale des abonnés pour l'accès à l'eau,,,Oui,,,Non,
i011,Existence et mise en œuvre d'un Plan de gestion de la sécurité sanitaire des eaux (PGSSE),,"Oui, mis en œuvre mais plus à jour",Non,2,60,Non,test
i013,Durée d'autonomie du service d'eau,Heures,45,Non,2,,Oui,test
i014,"Nombre de ressources alternatives pour l'alimentation en eau potable (interconnexion, stocks stratégiques d'eau et/ou de moyens de potabilisation alternatifs d'urgence)",Nombre,45,Non,1,,Oui,test
i016,Existence d'une tarification progressive de l'eau,,Oui sur une minorité du territoire,Non,1,33,Non,
i018,Conformité des performances des équipements d'épuration,%,45,Non,1,,Oui,
i019,Part de l'approvisionnement en eau douce issus de sources superficielles,%,12,Non,1,,Oui,
i020,Existence d'un schéma directeur des énergies (SDE) à jour et mis en oeuvre,,"Oui, mis en œuvre mais plus à jour",Non,2,60,Non,
i021,Consommation énergétique du secteur résidentiel par habitant,MWh/hab/an,34,Non,2,,Oui,
i022,Identification du territoire comme une zone électrique fragile,,"Oui, environ la moitié du territoire",Non,2,50,Non,
i023,Émissions de gaz à effet de serre énergétiques territoriales par habitant,teqCO2e/hab,34,Non,2,,Oui,
i024,Existence d'un PCAET à jour et mis en oeuvre,,Non mais en cours d'élaboration,Non,2,20,Non,
i025,"Niveau d'ambition de la trajectoire de réduction des consommations d'énergie par habitant, par rapport à l'objectif national de -50% en 2050",,Objectif inférieur à l'objectif national,Non,2,33,Non,
