dept,siren,epci_nom,i005,i006,i010,i012,i015,i017,i032,i033,i034,i035,i036,i037,i038,i043,i044,i047,i048,i049,i051,i052,i053,i054,i056,i057,i058,i064,i065,i066,i067,i068,i069,i070,i071,i072,i073,i077,i083,i084,i085,i086,i087,i089,i094,i095,i096,i097,i106,i108,i110,i111,i112,i113,i114,i115,i119,i126,i127,i128,i129,i130,i131,i134,i135,i142,i147,i148,i149,i150,i151,i156,i157,i158,i161,i162,i164
01,200029999,CC Rives de l'Ain - Pays du Cerdon,,,42,,,"132,531927915675",2,"31,5","17,2","8,2","9,92","11,54","10,5","29,5","37,2","9,26","11,64","17,9","87,3","1,8","30,8","1,2","1,61366234115511","32,8821656050955","0,552631578947369","2,3","0,2","2,69","136,5","22,4","40,1","1,45","47,1",0,"9,96717275338531","0,757715316763675","39,9841646872526","57,8","30,9",101,"6,92","57,65","5,23345597216929","8,74",0,"3,85272590464464","-4,4","48,4",25,"86,6","4,9","28,035","2,002","19,22",6,"34,2","9,7","13,9","47,5","82,4","29,58","2,6","-5,22","53,8",16,"19,43","0,672","1005,542",63,0,"24,1","0,329",78,"12,3","14,8"
01,200040350,CC Bugey Sud,,,34,,,"122,025970980507",2,"34,3333333333333","18,4","11,5","12,73","1,26","10,3","26,1","35,7","17,03","11,83","17,4","83,3","-0,6","36,7",1,"1,58422812885055","32,0053522099448","2,77512038523275","2,8","2,46","2,35","144,9",21,"26,1","1,45","54,5",0,"14,9192859665457","0,669511973697515","44,6505237849906","61,4","11,1",119,"16,09","57,65","5,91359385859607","5,28",0,"5,2905793896506","-0,4","48,9","-28,2142857142857","97,45","17,78","29,958","0,938","17,76",6,"36,2","11,9","14,2","51,8","62,9","29,57","2,9","-7,27","85,3","10,68",12,0,"488,007",59,0,22,"0,165",108,"12,3","16,82"
01,200042497,CC Dombes Saône Vallée,,,85,,,"78,8651426018319",2,"31,3333333333333","8,6","1,9","11,96","13,89","5,9","19,5","52,2","1,5","0,53","11,3","85,9","0,4","32,3","2,4","3,25239038466241","42,5501121644113","1,55652974617664","3,2","0,12","1,96","122,8","29,4","51,8","1,45","6,5",1,"15,7864571807922","1,62947826632458","36,4502680166766","54,5",23,99,"11,93","57,65","3,58551954446839","4,4",0,"2,5644793448401","-11,4","30,2","14,6666666666667","35,95","5,11","56,279","1,911","10,31",5,"24,9","5,5","9,3","43,1","91,9","27,05","2,8","-5,76","57,7","5,68","13,74","1,223","773,317",66,1,"29,9","0,648",63,"12,3","10,67"
01,200042935,CA Haut-Bugey Agglomération,,,32,,,"65,8862912633604",4,"31,75","15,5","5,3","29,82","1,06","10,9","24,2",47,"10,04","8,13","15,5","84,8","-0,3","30,95","1,2","2,1837148288376","33,1608160816082","1,83562412342216","1,6","0,89","2,98","130,3","20,4","56,2","1,45","65,6",2,"8,36128181343846","0,488139196916679","39,5090786819099","45,8","34,7",106,"8,98","57,65","6,27775997699359","5,81",1,"5,44112985036774","-0,9","31,3","-3,98550724637681","61,93","23,82","19,845","0,154","25,25",7,"35,5","17,7","15,3","47,4","49,1","21,96","3,2","-9,81","105,6","9,45","17,88",0,"549,459",59,0,"21,1","0,138",80,"12,3","19,2"
01,200069193,CC de la Dombes,,,83,,,"65,5983104646222",1,"31,3333333333333","12,1","2,9","13,58","8,97","6,6","23,7","44,1","9,89","7,99","15,7","82,2","0,7","29,1666666666667","1,4","1,10919398570372","35,3612454655381","0,0953543307086614","2,4",0,"2,22","119,3","24,5","38,9","1,45","12,2",0,"52,5354527847324","0,549370165974945","41,7018402836401","60,5",15,105,"12,82","57,65","4,407360559189","9,12",0,"3,77938429255061","-1,1","48,9","-17,0454545454545","95,55","5,38","54,316","1,588","14,71",6,"30,5","7,1","11,1","48,1","75,1","33,57","2,6","-5,5","57,8","8,03","20,75","0,246","454,885",62,1,"25,9","0,099",83,"12,3","11,71"
01,200070118,CC Val de Saône Centre,,,81,,,"84,2180092526351",1,"30,3333333333333","12,6","3,1","8,72","11,77","5,9","25,6","40,7","7,12","1,44",14,"87,3","-0,4","32,3","1,6","1,0465226905147","36,1188090670078","2,63666713033802",2,0,"1,43","126,8","25,8","44,8","1,45","5,8",0,"2,27940710711345","0,92405357591422","36,003726129483","50,7","30,1",106,6,"57,65","4,0117050175775","5,71",0,"4,33255519891061","4,3","45,9","-4,84848484848485","62,15","3,97","67,182","1,707","9,53",5,"27,9","6,1","11,5","39,7",83,"32,01","2,5","-5,62","48,5","5,6","16,13","0,476","264,555",64,0,"25,6","0,548",75,"12,3","10,99"
01,200070555,CC de la Veyle,,,76,,,0,1,"33,4","14,1","2,2","10,42","10,35","5,9","24,6","38,3","8,62","6,14","15,4","87,7","-0,2","30,9","1,2","0,860067085232648","32,6516129032258","1,21480192013504","2,6","0,05","1,72","124,8","26,2","39,2","1,45","5,8",4,"9,23188882107141","1,39228274004422","34,1430556140277","53,8","32,9",110,"3,6","57,65","4,26825449385052","0,43",0,"3,15774834437086",-4,"58,6","-31,3099041533546","86,71","12,3","56,588","1,339","11,91",4,"28,4","7,2","9,6",42,"89,7","32,21","2,5","-4,71",55,"6,44","13,94","2,15","320,802",61,0,"22,2","0,343",85,"12,3","12,57"
01,200071371,CC Bresse et Saône,,,40,,,"127,130304212169",1,"31,6666666666667","15,6","2,7","7,23","3,14","7,6","22,2","41,3","9,2","4,36","15,5","90,4","1,4",31,"1,2","1,1284046692607","30,9300365271144","0,426638176638177","2,6","0,1","2,33","114,4","23,4","41,3","1,45","8,7",1,"11,864949168207","1,22844255279317","34,4184985167719","52,8","34,4",109,"7,59","57,65","3,97922466277386","8,17",1,"3,94161913814956","4,8","39,2","-21,4057507987221","99,32","0,76","64,755","1,982","15,46",3,"29,3","7,5","12,1","38,3","85,5","31,28","2,5","-5,23","63,8","6,15","15,7",0,"208,413",59,1,25,"0,526",87,"12,3","12,88"
01,200071751,CA du Bassin de Bourg-en-Bresse,,,53,,,"81,6278189055467",2,"34,75","14,4","3,4","19,53","1,75","7,8","23,3","50,3","7,27","5,9","15,7","82,7","-0,3","30,8","1,7","2,21659278024066","38,6030173777395","2,33975652407856","2,5","0,15","2,5","132,7","26,6","49,1","1,45","24,3",12,"5,87437976521844","0,818658147716277","39,5934574750212","67,4","17,8",110,"18,09","57,65","5,03871309039219","5,08",11,"3,78254183627318","-0,6","33,5","-34,329563812601","93,75","5,38","54,626","1,085",14,6,"37,8","12,2","13,8","41,5",72,"39,68","2,9","-4,21","102,4","12,64","17,01","0,515","951,633",,2,"24,5","0,198",93,"12,3","15,21"
01,240100610,CC de la Côtière à Montluel,,,75,,,"216,095065802553",3,28,"10,4","1,4","16,13","8,41","5,8","20,2","49,6","5,46","1,59","14,1","77,1","4,1","24,4","1,8","1,88205771643664","41,2337860057244","1,31906467013889","2,8","0,14","1,96",146,"30,7","54,4","1,45",26,2,"20,69512386328","0,914203319630468","38,2536864046939","52,1","23,9",93,"6,57","57,65","3,96934280865017","0,39",2,"4,07504243109998","-3,3","23,5","-45,7831325301205","34,56","8,42","53,255","1,892","11,13",7,27,"8,2","15,5","41,6","79,9","26,07","2,8","-8,69","91,2","4,78","19,78","1,176","977,766",66,3,"24,2","0,236",58,"12,3","15,16"
